name,site,company,salary,eduBackground,techRequire
Java,北京,渤海融信投资,10-11K,"1-3年
本科",JavaSQLPython
Java,北京·海淀区·上地,传易互联,24-35K·17薪,"3-5年
硕士",JavaSQL分布式技术MVC开发多线程多进程
Java,北京,盛大融鑫,6-12K,"1-3年
大专",Java
Java,北京·朝阳区·甘露园,常之科技,20-25K,"5-10年
本科",后端工程师架构师Java
Java,北京·海淀区·知春路,泰尔英福科技有限公司,15-20K·13薪,"经验不限
本科",微服务架构容器技术全栈开发后端开发WEB开发
Java,北京·朝阳区·安贞,云基,11-20K,"1-3年
本科",MVC开发分布式技术消息队列数据结构Linux
JAVA,北京·海淀区·西北旺,北京新致,12-17K,"3-5年
本科",SpringRedisOracleMySQL微服务架构
Java,北京·朝阳区·朝阳门,北京中能汇智软件技术,13-15K,"3-5年
本科",JavaMySQL大数据处理经验
Java,北京·海淀区·西北旺,信雅达科技股份,13-20K,"3-5年
本科",后端工程师Java
Java,北京·海淀区·双榆树,山西慢快科技有限...,6-8K,"5-10年
本科",Java
Java,北京·丰台区·宋家庄,云端微服,10-13K·13薪,"1-3年
本科",JavaSQLSpringSSM分布式技术后端开发Redis
Java,北京·丰台区·丽泽,吉之祥科技有限公司,10-15K,"1-3年
大专",SpringJava分布式技术计算机软件大数据人工智能
Java,北京·顺义区·马坡,北京金信润天股份公司,20-30K,"3-5年
大专",SQLSpringBootSpringCloudSSMIDEASpring
Java,北京,华为云计算,15-30K·14薪,"经验不限
本科",JavaC/C++MyBatis后端工程师全栈开发
Java,北京·海淀区·中关村,北京开元维度科技...,30-60K·14薪,"经验不限
本科",LinuxUnix企业级应用开发后端开发分布式技术
Java,北京·海淀区·上地,天琴科技,8-10K·13薪,"1-3年
本科",Java容器技术MySQLMongoDBLinux网络安全
Java,北京·朝阳区·水立方,中科朗智,10-12K,"1-3年
本科",SpringBootSpringIDEA
Java,北京·西城区·阜成门,奇迹乍现科技,35-40K·16薪,"5-10年
硕士",后端开发高级软件工程师SpringCloud负载均衡技术
Java,北京·海淀区·中关村,北京金成果网络科技,15-16K,"经验不限
学历不限",全栈开发
Java,北京·海淀区·中关村,北京大学软件中心,15-20K·13薪,"1-3年
本科",全栈工程师JavaJavaScriptJava开发经验
Java,北京·朝阳区·望京,小药药,25-40K·15薪,"5-10年
本科",架构师计算机软件Java分布式技术Dubbo
java,北京·朝阳区·亮马桥,北京智扬通达科技发展,8-9K,"1-3年
大专",后端工程师
Java,北京·大兴区·马驹桥,北京八零八零,15-20K,"3-5年
大专",后端工程师Java计算机/软件工程相关经验SpringCloud
Java,北京·海淀区·清河,268教育,5-10K,"1-3年
大专",数据库Java中间件
Java,北京·朝阳区·国贸,紫博蓝,10-15K,"3-5年
大专",分布式技术
Java,北京·朝阳区·朝阳大悦城,能链集团,18-35K,"3-5年
本科",分布式技术服务器配置多线程微服务架构
java,北京·朝阳区·高碑店,纽扣互联,8-10K,"1-3年
本科",JavaSpringRedis
Java,北京·朝阳区·望京,上海慧与有限公司,15-25K,"3-5年
本科",Java后端开发项目实施
Java,北京·朝阳区·朝外,大牛认知,12-24K,"1-3年
本科",分布式技术多线程数据结构SpringSpringBoot
Java,北京·昌平区·回龙观,北京优蚂科技,10-19K,"3-5年
大专",JavaHTML/CSSSpringMVC
Java,北京·朝阳区·百子湾,捷睿塞斯,15-16K,"1-3年
本科",Python
Java,北京·朝阳区·东坝,北京扶光动力,20-30K,"经验不限
大专",JavaSpringRedisJava开发经验分布式系统开发经验
java,北京·海淀区·西北旺,华为北京研究所,17-30K·14薪,"经验不限
学历不限",后端工程师JavaMySQLSpring
Java,北京·朝阳区·四惠东,西牛奔奔,15-26K,"5-10年
大专",多线程SpringSpringCloudSpringBootLinux
java,北京·西城区·百万庄,中科航天,16-17K,"5-10年
大专",Java
Java,北京·顺义区·后沙峪,点威科技,10-11K,"3-5年
大专",Java
Java,北京·海淀区·四季青,智网科技,16-25K,"3-5年
本科",MySQLSQL中级软件工程师WindowsLinux
Java,北京·海淀区·马连洼,更读八角,11-17K,"3-5年
本科",Jave分布式技术微服务架构中级软件工程师全栈开发
Java,北京·东城区·和平里,新生支付,22-35K,"3-5年
大专",SpringHibernate微服务架构分布式技术MVC开发
Java,北京·昌平区·天通苑,匈华国际,10-15K,"在校/应届
高中",JavaPHPPythonJavaScriptSQLShellCSS
Java,北京·海淀区·中关村,PDX 全息互信,20-40K,"5-10年
本科",Java后端开发
Java,北京·海淀区·北太平庄,容利达科技,15-25K,"3-5年
本科",MySQL后端开发WEB开发软件工程师
Java,北京·海淀区·上地,蚂蚁互联,15-30K,"5-10年
硕士",后端开发系统架构前端开发
Java,北京·东城区·东单,农银金科,20-30K·15薪,"经验不限
本科",多线程后端开发SpringBootSpringCloudIDEA
Java,北京·朝阳区·慈云寺,Amazon,50-80K,"3-5年
本科",高级软件工程师后端开发
Java,北京·海淀区·公主坟,紫亿珑,11-17K,"3-5年
大专",分布式技术消息队列多线程架构师SpringBoot
Java,北京·朝阳区·酒仙桥,思源,15-25K·13薪,"经验不限
本科",Java
Java,北京·朝阳区·高碑店,曹氏俊杰,9-10K,"3-5年
大专",JavaHTMLSQLJavaScript多线程全栈开发
java,北京·昌平区·沙河,云智环能科技有限公司,12-18K,"1-3年
本科",Java
Java,北京·丰台区·花乡,奔一达科技,10-11K,"3-5年
本科",Java
Java,北京·东城区·和平里,联通大数据有限公司,15-30K·14薪,"5-10年
本科",JavaJava开发经验分布式系统开发经验大数据处理经验
Java,北京·海淀区·西北旺,中交兴路,18-20K·13薪,"3-5年
本科",后端开发数据库JavaJavaScriptSQLShell多线程
Java,北京·丰台区·六里桥,北冥鲲,15-16K,"5-10年
博士",PHPPython高级软件工程师Linux全栈开发
Java,北京·朝阳区·亚运村,如影科技,15-30K,"1-3年
本科",JavaSpringRedisJava开发经验
Java,北京·朝阳区·高碑店,中京惠康,13-25K,"3-5年
大专",分布式技术后端开发高级软件工程师软件工程师
Java,北京·西城区·白纸坊,赢信科技,13-26K,"3-5年
本科",Java后端开发数据库
Java,北京·通州区·九棵树,乐艺,15-16K,"3-5年
大专",全栈工程师JavaSpringJavaScript
Java,北京·海淀区·中关村,车智易通信息技术,15-30K·16薪,"1-3年
本科",MVC开发微服务架构负载均衡技术消息队列多线程
java,北京·石景山区·永乐,北京腾势,15-26K,"3-5年
本科",JavaC/C++
Java,北京·朝阳区·望京,阿里影业,25-26K·14薪,"3-5年
本科",JavaSpringJava开发经验分布式系统开发经验
Java,北京·海淀区·上地,启明星辰,15-19K·14薪,"1-3年
大专",多线程MVC开发
java,北京·海淀区·万柳,大惠堂,6-10K,"1-3年
本科",JavaLinux
Java,北京·大兴区·亦庄,国汽智图,25-40K·14薪,"5-10年
本科",分布式技术微服务架构SpringBootSpringCloud
Java,北京·海淀区·人民大学,启航龙图,15-30K·13薪,"经验不限
本科",Java微服务架构数据结构容器技术算法基础Spring
Java,北京·海淀区·花园桥,贝倍科技,15-30K,"5-10年
本科",分布式技术UnixNoSQLRedis微服务架构架构师
Java,北京·朝阳区·国贸,北京小质电子商务...,15-25K,"1-3年
本科",SpringBootSpringCloudSpringMVCMySQL
Java,北京·昌平区·立水桥,正匠科技,11-17K·13薪,"3-5年
大专",消息队列SpringSpringBootSpringCloudRedis
Java,北京·海淀区·知春路,软树,10-15K,"1-3年
本科",JavaSpringSSMMySQLOracle后端开发
Java,北京·海淀区·西北旺,腾讯,30-50K·16薪,"5-10年
本科",分布式技术微服务架构网络协议Spring后端开发
Java,北京·朝阳区·酒仙桥,人人车,20-30K,"5-10年
本科",多线程分布式技术SpringBoot
Java,北京·昌平区·西三旗,企慧盈,10-15K,"1-3年
本科",多线程
JAVA,北京·通州区·九棵树,百奥利盟,7-10K,"经验不限
本科",后端工程师Java计算机/软件工程相关经验Java开发经验
Java,北京·海淀区·双榆树,多点DMALL,15-30K·13薪,"3-5年
本科",SpringSpringMVCDubboSpringBoot分布式技术
Java,北京·朝阳区·工体,羊旅国际,15-30K,"1-3年
本科",全栈开发Web端计算机软件PythonJava
Java,北京·昌平区·二拨子村,北京鲁邦斯特,8-13K,"经验不限
本科",SQL后端开发
Java,北京·丰台区·科技园区,国通租赁,10-20K,"1-3年
本科",Java后端开发ERP
Java,北京·东城区·东直门,轻松集团,18-35K,"3-5年
本科",JavaSpring计算机软件分布式技术微服务架构
java,北京·海淀区·西北旺,中软国际,13-18K,"3-5年
本科",后端工程师JavaSpringJava开发经验
Java,北京·朝阳区·太阳宫,BOSS直聘,20-25K·16薪,"1-3年
本科",后端工程师JavaSpringMySQLJava开发经验
